i,ui
463,22.6305
464,22.5575
465,22.4844
466,22.4113
467,22.3383
468,22.2652
469,22.1921
470,22.1191
471,22.046
472,21.9729
473,21.8999
474,21.8268
475,21.7537
476,21.6807
477,21.6076
478,21.5345
479,21.4615
480,21.3884
481,21.3153
482,21.2423
483,21.1692
484,21.0961
485,21.0231
486,20.95
487,20.8769
488,20.8039
489,20.7308
490,20.6577
491,20.5847
492,20.5116
493,20.4385
494,20.3655
495,20.2924
496,20.2193
497,20.1463
498,20.0732
499,20.0001
500,19.9271
501,19.8872
502,19.8474
503,19.8075
504,19.7677
505,19.7278
506,19.688
507,19.6481
508,19.6082
509,19.5684
510,19.5285
511,19.4887
512,19.4488
513,19.409
514,19.3691
515,19.3293
516,19.2894
517,19.2496
518,19.2097
519,19.1699
520,19.13
521,19.0901
522,19.0503
523,19.0104
524,18.9706
525,18.9307
526,18.8909
527,18.851
528,18.8112
529,18.7713
530,18.7315
531,18.6916
532,18.6517
533,18.6119
534,18.572
535,18.5322
536,18.4923
537,18.4525
538,18.4126
539,18.3728
540,18.3329
541,18.2931
542,18.2532
543,18.2134
544,18.1735
545,18.1336
546,18.0938
547,18.0539
548,18.0141
549,17.9742
550,17.9344
551,17.8945
552,17.8547
553,17.8148
554,17.775
555,17.7351
556,17.6952
557,17.6554
558,17.6155
559,17.5757
560,17.5358
561,17.496
562,17.4561
563,17.4163
564,17.3764
565,17.3366
566,17.2967
567,17.2569
568,17.217
569,17.1771
570,17.1373
571,17.0974
572,17.0576
573,17.0177
574,16.9779
575,16.938
576,16.8982
577,16.8583
578,16.8185
579,16.7786
580,16.7387
581,16.6989
582,16.659
583,16.6192
584,16.5793
585,16.5395
586,16.4996
587,16.4598
588,16.4199
589,16.3801
590,16.3402
591,16.3004
592,16.2605
593,16.2206
594,16.1808
595,16.1409
596,16.1011
597,16.0612
598,16.0214
599,15.9815
600,15.9417
601,15.9018
602,15.862
603,15.8221
604,15.7822
605,15.7424
606,15.7025
607,15.6627
608,15.6228
609,15.583
610,15.5431
611,15.5033
612,15.4634
613,15.4236
614,15.3837
615,15.3439
616,15.304
617,15.2641
618,15.2243
619,15.1844
620,15.1446
621,15.1047
622,15.0649
623,15.025
624,14.9852
625,14.9453
626,14.9055
627,14.8656
628,14.8257
629,14.7859
630,14.746
631,14.7062
632,14.6663
633,14.6265
634,14.5866
635,14.5468
636,14.5069
637,14.4671
638,14.4272
639,14.3874
640,14.3475
641,14.3076
642,14.2678
643,14.2279
644,14.1881
645,14.1482
646,14.1084
647,14.0685
648,14.0287
649,13.9888
650,13.949
651,13.9091
652,13.8692
653,13.8294
654,13.7895
655,13.7497
656,13.7098
657,13.67
658,13.6301
659,13.5903
660,13.5504
661,13.5106
662,13.4707
663,13.4309
664,13.391
665,13.3511
666,13.3113
667,13.2714
668,13.2316
669,13.1917
670,13.1519
671,13.112
672,13.0722
673,13.0323
674,12.9925
675,12.9526
676,12.9127
677,12.8729
678,12.833
679,12.7932
680,12.7533
681,12.7135
682,12.6736
683,12.6338
684,12.5939
685,12.5541
686,12.5142
687,12.4744
688,12.4345
689,12.3946
690,12.3548
691,12.3149
692,12.2751
693,12.2352
694,12.1954
695,12.1555
